id,sym,side,strategy,entry_price,exit_price,size,risk_usd,pnl,pnl_pct,fee,status,exit_stage,opened_at,closed_at
1723,EVAA,LONG,ROTA,2.2322,2.8,223.99426574679686,,127.18394409103118,0.25436788818206235,0,TP,0,2026-07-10 00:21:03.92244+00,2026-07-10 09:59:02.188+00
1724,VANRY,LONG,ROTA,0.007126,0.006747,70165.59079427448,,-26.592758911030028,-0.05318551782206006,0,SL,0,2026-07-10 00:21:03.968902+00,2026-07-10 09:59:02.288+00
1725,US,LONG,ROTA,0.027276,0.026056,18331.133597301658,,-22.363982988708067,-0.04472796597741613,0,SL,0,2026-07-10 00:21:03.991762+00,2026-07-10 09:59:02.226+00
1726,BASED,LONG,ROTA,0.11148,0.10209,4485.109436670255,,-42.11517761033367,-0.08423035522066735,0,SL,0,2026-07-10 00:21:04.011996+00,2026-07-10 09:40:02.727+00
1727,LIT,LONG,ROTA,2.3937,2.5054,208.88164765843675,,23.332080043447366,0.04666416008689473,0,TP,0,2026-07-10 00:21:04.031839+00,2026-07-10 09:40:02.649+00
1728,KORU,SHORT,ROTA,575.42,543.2,0.8689305203155956,,27.996941364568414,0.05599388272913683,0,TP,0,2026-07-10 00:21:04.052677+00,2026-07-10 09:59:02.319+00
1729,SLX,SHORT,ROTA,0.16554,0.16482,3020.4180258547785,,2.174700978615436,0.004349401957230871,0,TP,0,2026-07-10 00:21:04.091795+00,2026-07-10 09:40:02.678+00
1730,TAC,SHORT,ROTA,0.004759,0.004038,105064.08909434755,,75.75120823702461,0.15150241647404922,0,TP,0,2026-07-10 00:21:04.111608+00,2026-07-10 09:59:02.347+00
1731,SKYAI,SHORT,ROTA,0.03805,0.03593,13140.604467805519,,27.85808147174775,0.055716162943495504,0,TP,0,2026-07-10 00:21:04.132714+00,2026-07-10 09:40:02.702+00
1732,LAB,SHORT,ROTA,1.1401,1.1388,438.55802122620827,,0.570125427594008,0.0011402508551880159,0,TP,0,2026-07-10 00:21:04.153882+00,2026-07-10 09:59:02.377+00
1733,ARB,LONG,DONCH4H,0.09159,0.09118,2729.5556283437054,,-1.2435582487171293,-0.00447647123048376,0,SL,0,2026-07-10 04:00:02.452325+00,2026-07-10 14:22:01.977+00
1734,DEXE,LONG,DONCH4H,34.76,34.54,7.1921749136939015,,-1.5822784810126502,-0.006329113924050601,0,SL,0,2026-07-10 04:00:02.567668+00,2026-07-10 09:10:07.447+00
1735,UNI,LONG,DONCH4H,3.465,3.635,72.15007215007215,,12.134379509379505,0.04906204906204904,0,TP,0,2026-07-10 04:01:01.992301+00,2026-07-10 11:51:02.418+00
1736,SKL,LONG,ROTA,0.005786,0.005786,86737.3469231427,,0,0,0,TP,0,2026-07-10 09:40:02.776905+00,2026-07-10 09:59:02.404+00
1737,DEXE,LONG,ROTA,35.74,35.74,14.042033835962611,,0,0,0,TP,0,2026-07-10 09:40:02.805014+00,2026-07-10 09:59:02.255+00
1738,WLD,SHORT,ROTA,0.3813,0.4251,1316.1874883223284,,-57.9287676391609,-0.11487018095987414,0,SL,0,2026-07-10 09:40:02.825279+00,2026-07-12 12:02:02.938+00
1739,SOXL,SHORT,ROTA,185.08,185.08,2.711596549045298,,0,0,0,TP,0,2026-07-10 09:40:02.845014+00,2026-07-10 09:59:02.435+00
1740,ARB,LONG,ROTA,0.09335,0.09544,5473.91069264411,,11.179258329373184,0.022388859132297746,0,TP,0,2026-07-10 09:59:02.499101+00,2026-07-12 12:02:02.793+00
1741,BCH,LONG,ROTA,243.22,248.13,2.100935626833022,,10.054941349207091,0.02018748458186003,0,TP,0,2026-07-10 09:59:02.53071+00,2026-07-10 12:06:15.65+00
1742,LDO,LONG,ROTA,0.3059,0.309,1670.4464307235294,,4.920299961696141,0.010134030728996376,0,TP,0,2026-07-10 09:59:02.555317+00,2026-07-12 12:02:02.855+00
1743,UNI,LONG,ROTA,3.488,,146.49930136419945,,,,0,OPEN,0,2026-07-10 09:59:02.586572+00,
1744,ADA,LONG,ROTA,0.1665,0.1678,3069.0063853353013,,3.7322186652062466,0.007807807807807781,0,TP,0,2026-07-10 09:59:02.609639+00,2026-07-10 12:06:16.168+00
1745,FET,SHORT,ROTA,0.1614,0.1638,3165.9824235336287,,-7.857651776968154,-0.014869888475836514,0,SL,0,2026-07-10 09:59:02.63321+00,2026-07-10 12:06:16.671+00
1746,GALA,SHORT,ROTA,0.002158,,236788.49080552717,,,,0,OPEN,0,2026-07-10 09:59:02.657326+00,
1747,DYDX,SHORT,ROTA,0.1322,0.1328,3865.276574571313,,-2.5758203092942824,-0.00453857791225408,0,SL,0,2026-07-10 09:59:02.684097+00,2026-07-10 12:06:16.945+00
1748,SEI,SHORT,ROTA,0.04947,0.05052,10329.28164864216,,-11.106663385518992,-0.02122498483929659,0,SL,0,2026-07-10 09:59:02.712752+00,2026-07-10 12:06:17.194+00
1749,BCH,LONG,ROTA,248.13,246.19,3.2340343957583753,,-6.672120191717118,-0.007818482247209116,0.4012304773097628,SL,0,2026-07-10 12:06:17.598759+00,2026-07-12 12:02:02.969+00
1750,TIA,LONG,ROTA,0.4148,0.4082,1501.0942719826974,,-10.213595535997465,-0.015911282545805195,0.31132695200921146,SL,0,2026-07-10 12:06:17.866125+00,2026-07-12 12:02:03.04+00
1751,ATOM,SHORT,ROTA,1.583,1.566,752.6806289935427,,12.20622176038821,0.010739102969046054,0.5957467178483891,TP,0,2026-07-10 12:06:18.116562+00,2026-07-12 12:02:02.901+00
1752,SEI,SHORT,ROTA,0.05052,0.04946,16657.694722655608,,17.24521161552376,0.020981789390340566,0.4207733686942807,TP,0,2026-07-10 12:06:18.364678+00,2026-07-12 12:02:03.002+00
1753,DYDX,SHORT,ROTA,0.1328,0.12143641999999999,2157.333719841311,,24.384044870272945,0.08556912650602419,0.14324695899746306,TP,0,2026-07-10 12:06:18.631574+00,2026-07-18 11:50:02.891+00
1754,ENA,LONG,DONCH4H,0.08033,0.08021,8482.556773720891,,-1.3580997522565417,-0.0014938379185857726,1.0221056784494988,SL,2,2026-07-10 20:00:03.148823+00,2026-07-11 23:35:26.222+00
1755,ENA,LONG,DONCH4H,0.08221,0.08206,16598.208392871813,,-3.170755749290489,-0.0018245955479869996,1.0234040339834938,SL,1,2026-07-11 04:00:03.463762+00,2026-07-11 16:04:02.498+00
1756,ETH,LONG,DONCH4H,1814.11,1782.77,1.0127277373893244,,-32.641617603974126,-0.01727568890530338,0.9185997578376736,SL,0,2026-07-11 16:00:04.790661+00,2026-07-12 00:09:01.921+00
1757,AAVE,LONG,DONCH4H,99.67,99.64,9.259134239196598,,-0.739064094972683,-0.00030099327781680683,0.6921434322155439,SL,1,2026-07-11 16:04:02.539698+00,2026-07-11 23:10:05.312+00
1758,AAVE,LONG,DONCH4H,101.71,98.46,5.066616567987143,,-16.715933379600223,-0.031953593550290045,0.2576627855649862,SL,0,2026-07-11 20:00:04.098329+00,2026-07-11 23:35:25.254+00
1759,SOL,SHORT,DONCH4H,76.73,76.74,17.561640033096445,41.03048260966212,7.3566399935317087,-0.00013032712107377694,1.0106284798046177,SL,1,2026-07-12 00:00:06.461938+00,2026-07-12 01:41:02.139+00
1760,AVAX,SHORT,DONCH4H,6.523,6.282865299280061,104.54166484583868,47.07015262597416,50.075229556273815528,0.03681353682660408,1.0228879196841085,TP,2,2026-07-12 04:00:03.312569+00,2026-07-12 06:51:05.456+00
1761,ARB,LONG,ROTA,0.09544,,3616.877758159594,,,,0.1725974066193758,OPEN,0,2026-07-12 12:02:03.191475+00,
1762,BCH,LONG,ROTA,246.19,224.352674,1.8152287075407245,,-39.843366758354605,-0.08870110889963033,0.22344557775472548,SL,0,2026-07-12 12:02:03.311475+00,2026-07-16 11:54:02.762+00
1763,LDO,LONG,ROTA,0.309,,1080.8506630332254,,,,0.16699142743863332,OPEN,0,2026-07-12 12:02:03.423933+00,
1764,PEPE,LONG,ROTA,0.000002744,0.0000027221831,151652384.69590807,,-3.514997691019082,-0.00795076530612239,0.20806707180278586,SL,0,2026-07-12 12:02:03.671883+00,2026-07-18 11:50:02.849+00
1765,ETH,LONG,ROTA,1802.99,,0.35695302053970634,,,,0.3217913632514426,OPEN,0,2026-07-12 12:02:03.923261+00,
1766,ADA,LONG,ROTA,0.1642,0.15855242,2423.054340302069,,-13.876483795926388,-0.03439451887941542,0.1989327613387999,SL,0,2026-07-12 12:02:04.196285+00,2026-07-14 11:58:02.277+00
1767,LINK,LONG,ROTA,8.025,7.9166243,78.96695386932704,,-8.870674755405533,-0.013504760124610684,0.31685490240067476,SL,0,2026-07-12 12:02:04.513147+00,2026-07-14 11:58:02.317+00
1768,DOGE,SHORT,ROTA,0.07319,0.072171645,9204.692726284937,,9.041485953388124,0.013913854351687368,0.33684573031839726,TP,0,2026-07-12 12:02:04.621438+00,2026-07-14 11:58:02.348+00
1769,SEI,SHORT,ROTA,0.04946,0.048004397,10564.218833884768,,15.123744149810827,0.029429902951880305,0.2612531317619703,TP,0,2026-07-12 12:02:04.869266+00,2026-07-16 11:54:02.714+00
1770,ALGO,SHORT,ROTA,0.084,0.08222465999999999,7198.2876564934495,,12.483469630510497,0.021135000000000168,0.3023280815727249,TP,0,2026-07-12 12:02:04.980313+00,2026-07-18 11:50:02.923+00
1771,WLD,SHORT,ROTA,0.4251,0.39801937,700.8473720218913,,18.83991295345803,0.06370414020230533,0.148965108923253,TP,0,2026-07-12 12:02:05.090568+00,2026-07-16 11:54:02.679+00
1772,FET,SHORT,ROTA,0.1604,,3032.039334274436,,,,0.24316955460880976,OPEN,0,2026-07-12 12:02:05.203356+00,
1773,WIF,SHORT,ROTA,0.1504,,2450.0635071405586,,,,0.18424477573697,OPEN,0,2026-07-12 12:02:05.31975+00,
1774,XRP,SHORT,DONCH4H,1.08507438,1.1013302999999999,1888.408963950698,29.372215638577032,-31.73770605066044,-0.01498138772753981,1.0245320928726231,SL,0,2026-07-13 00:00:04.487834+00,2026-07-13 00:15:36.994+00
1775,BTC,SHORT,DONCH4H,62758.86669,62792.03195999999,0.0216970385471483,27.26874950688615,4.0529611908159127,-0.0005284555274685189,1.0212611623112036,SL,1,2026-07-13 04:01:02.216427+00,2026-07-13 15:00:03.226+00
1776,BNB,SHORT,DONCH4H,569.0492340000001,569.290736,2.3929063926097323,28.757802161522527,4.4925390319625954,-0.00042439561565242096,1.0212611623112036,SL,1,2026-07-13 04:01:02.251512+00,2026-07-14 00:36:02.327+00
1777,NEAR,LONG,DONCH4H,1.9895967,1.988,342.4271782452661,69.78081131048135,36.326980581199656,-0.0008025244513122269,1.0219379757406397,TP,2,2026-07-14 08:00:03.586727+00,2026-07-16 22:57:02.405+00
1778,ENA,LONG,ROTA,0.08283484299999999,0.08290512100000001,4806.173853544332,,0.13854007364192406,0.0008484110967654135,0.19905932829452486,TP,0,2026-07-14 11:58:02.546406+00,2026-07-16 11:54:02.738+00
1779,XRP,LONG,DONCH4H,1.1045312600000001,1.10416865,1236.2325119992784,38.43424970872367,6.556075078638449,-0.0003282931077931112,1.024093090598646,SL,1,2026-07-14 16:00:04.06352+00,2026-07-15 01:43:02.477+00
1780,DOGE,LONG,DONCH4H,0.07423226299999999,0.07254822899999999,20419.234846114865,32.91534004095712,-35.12737539765258,-0.022686011875995227,0.7578830056777816,SL,0,2026-07-14 20:00:05.041238+00,2026-07-16 23:05:03.317+00
1781,NEAR,LONG,DONCH4H,2.080624,1.9934018,655.1490699964348,49.078717542676614,-57.79653088074252,-0.04192117364790554,0.681559439306131,SL,0,2026-07-15 12:01:02.407589+00,2026-07-16 22:41:02.138+00
1782,SOL,SHORT,ROTA,76.36708300000001,,6.871325483630211,,,,0.26237154176420174,OPEN,0,2026-07-16 11:54:03.649004+00,
1783,AAVE,SHORT,DONCH4H,92.412268,,4.087593535287933,35.91927055026102,,,0.5666156838871439,OPEN,2,2026-07-16 16:00:05.413841+00,
1784,ADA,SHORT,DONCH4H,0.15865239,0.16354905,12794.615218070674,60.89709761531657,-63.69715413573341,-0.03086407963977093,1.014948141738642,SL,0,2026-07-17 08:00:03.346812+00,2026-07-17 15:40:02.275+00
1785,AAVE,SHORT,DONCH4H,87.883627,90.42712,22.978480776892663,56.890703458556686,-59.484543925975885,-0.028941602512604515,1.0097161168115527,SL,0,2026-07-18 08:01:02.363189+00,2026-07-19 00:53:02.813+00
1786,INJ,LONG,ROTA,5.0585171,,77.90422254145031,,,,0.19703992094406594,OPEN,0,2026-07-18 11:50:03.050272+00,
1787,RUNE,LONG,ROTA,0.42582771,,1482.538597072279,,,,0.3156530078889506,OPEN,0,2026-07-18 11:50:03.162927+00,
1788,LINK,LONG,ROTA,8.2484738,,73.1187165348579,,,,0.30155890881370107,OPEN,0,2026-07-18 11:50:03.260546+00,
1789,ENA,LONG,ROTA,0.081174345,,4602.385058391101,,,,0.1867977962763422,OPEN,0,2026-07-18 11:50:03.35928+00,
1790,TIA,SHORT,ROTA,0.36369086,,841.9870782958759,,,,0.15311150230715723,OPEN,0,2026-07-18 11:50:03.462278+00,
1791,AXS,SHORT,ROTA,0.9317204000000001,,621.7190327454106,,,,0.2896341529385836,OPEN,0,2026-07-18 11:50:03.564358+00,
1792,OP,SHORT,ROTA,0.0959712,,4452.470454869149,,,,0.21365446625916906,OPEN,0,2026-07-18 11:50:03.664292+00,
1793,WLD,SHORT,ROTA,0.38038585,,743.1804209053505,,,,0.14134765805471977,OPEN,0,2026-07-18 11:50:03.764751+00,
